                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.83528,                0.85888,                 0.9911,                0.54108,                 0.4572,                0.45633,                0.33468,                 1.0964,                  1.534,                 1.1774,             0.00021767,             0.00021767,             0.00021767
                    100,                0.82211,                0.85667,                0.99752,                0.54765,                0.46972,                0.45931,                0.34149,                 1.0935,                 1.5475,                  1.183,             0.00021133,             0.00021133,             0.00021133
                    101,                 0.8131,                0.83521,                0.98704,                0.54828,                0.44931,                0.44859,                0.33232,                 1.1001,                 1.5329,                 1.1827,             0.00020498,             0.00020498,             0.00020498
                    102,                 0.8113,                0.84002,                0.99156,                0.56636,                0.43769,                 0.4421,                0.32489,                 1.1138,                 1.5726,                   1.18,             0.00019864,             0.00019864,             0.00019864
                    103,                0.81135,                 0.8329,                0.98978,                0.55034,                0.46203,                0.45324,                0.33732,                 1.0907,                 1.5482,                 1.1795,             0.00019229,             0.00019229,             0.00019229
                    104,                0.79851,                0.81846,                0.98323,                0.54005,                0.44171,                0.45362,                 0.3354,                  1.099,                 1.5161,                 1.1817,             0.00018595,             0.00018595,             0.00018595
                    105,                0.79157,                 0.8184,                0.98034,                0.57869,                0.44302,                0.44894,                0.33697,                  1.097,                 1.5454,                 1.1767,             0.00017961,             0.00017961,             0.00017961
                    106,                0.79449,                0.80378,                0.98479,                0.53921,                0.46217,                 0.4513,                0.33556,                 1.1017,                  1.549,                 1.1857,             0.00017326,             0.00017326,             0.00017326
                    107,                 0.8013,                0.80985,                0.98559,                 0.5612,                0.44033,                0.44268,                0.32991,                 1.0872,                 1.5455,                 1.1813,             0.00016692,             0.00016692,             0.00016692
                    108,                0.78833,                0.79592,                0.98081,                0.56854,                0.44424,                0.45011,                0.33677,                 1.0973,                 1.5654,                 1.1884,             0.00016058,             0.00016058,             0.00016058
                    109,                 0.7835,                 0.7714,                0.97216,                0.57838,                0.42781,                0.44661,                0.33601,                 1.0991,                 1.5846,                 1.1793,             0.00015423,             0.00015423,             0.00015423
                    110,                0.77129,                0.75988,                 0.9685,                 0.5643,                 0.4498,                0.45647,                0.34105,                 1.0958,                 1.5791,                 1.1744,             0.00014789,             0.00014789,             0.00014789
                    111,                0.76801,                0.76077,                0.97049,                0.56174,                0.44864,                0.45162,                0.33627,                 1.0986,                 1.5712,                 1.1837,             0.00014155,             0.00014155,             0.00014155
                    112,                 0.7569,                0.74878,                0.96414,                0.57668,                0.43359,                0.44794,                0.33396,                   1.11,                 1.5877,                 1.1879,              0.0001352,              0.0001352,              0.0001352
